Date,High,Low,Open,Close,Volume,Adj Close
2017-03-27,1068.4100341796875,1015.4500122070312,1045.1400146484375,1044.4200439453125,83567551,1044.4200439453125
2017-03-28,1058.6600341796875,1008.3400268554688,1044.4200439453125,1041.9000244140625,71261535,1041.9000244140625
2017-03-29,1052.6600341796875,1020.9299926757812,1041.9000244140625,1037.9100341796875,77633883,1037.9100341796875
2017-03-30,1088.199951171875,1035.1800537109375,1037.9100341796875,1079.1099853515625,96543920,1079.1099853515625
2017-03-31,1103.739990234375,1067.469970703125,1079.1099853515625,1086.1199951171875,55020078,1086.1199951171875
2017-04-01,1109.47998046875,1074.2099609375,1086.1199951171875,1097.4000244140625,77853933,1097.4000244140625
2017-04-02,1157.8699951171875,1095.550048828125,1097.4000244140625,1147.56005859375,111870807,1147.56005859375
2017-04-03,1161.18994140625,1122.1500244140625,1147.56005859375,1141.77001953125,81164094,1141.77001953125
2017-04-04,1143.8399658203125,1110.06005859375,1141.77001953125,1129.8699951171875,78335573,1129.8699951171875
2017-04-05,1201.550048828125,1130.510009765625,1129.8699951171875,1188.699951171875,108182158,1188.699951171875
2017-04-06,1201.22998046875,1173.1800537109375,1188.699951171875,1190.489990234375,71184485,1190.489990234375
2017-04-07,1198.219970703125,1166.6500244140625,1190.489990234375,1180.780029296875,39393003,1180.780029296875
2017-04-08,1215.0999755859375,1173.989990234375,1180.780029296875,1204.3399658203125,54498333,1204.3399658203125
2017-04-09,1214.8699951171875,1194.81005859375,1204.3399658203125,1206.7099609375,48473680,1206.7099609375
2017-04-10,1229.5699462890625,1195.760009765625,1206.7099609375,1220.739990234375,45563707,1220.739990234375
2017-04-11,1225.4599609375,1207.3599853515625,1220.739990234375,1212.530029296875,54699396,1212.530029296875
2017-04-12,1218.6600341796875,1150.2900390625,1212.530029296875,1176.199951171875,78456422,1176.199951171875
2017-04-13,1195.4000244140625,1162.1600341796875,1176.199951171875,1177.3299560546875,56129576,1177.3299560546875
2017-04-14,1194.8499755859375,841.530029296875,1177.3299560546875,1176.989990234375,33877537,1176.989990234375
2017-04-15,1187.969970703125,1166.739990234375,1176.989990234375,1176.800048828125,22538918,1176.800048828125
2017-04-16,1202.969970703125,1172.81005859375,1176.800048828125,1194.010009765625,56095607,1194.010009765625
2017-04-17,1213.8800048828125,1191.1400146484375,1194.010009765625,1206.0899658203125,64900219,1206.0899658203125
2017-04-18,1218.2099609375,1194.0799560546875,1206.0899658203125,1215.199951171875,53034357,1215.199951171875
2017-04-19,1246.6400146484375,1210.6700439453125,1215.199951171875,1238.0899658203125,69223360,1238.0899658203125
2017-04-20,1256.969970703125,1235.56005859375,1238.0899658203125,1249.6400146484375,52498296,1249.6400146484375
2017-04-21,1256.969970703125,1215.780029296875,1249.6400146484375,1240.8900146484375,55776932,1240.8900146484375
2017-04-22,1256.22998046875,1223.06005859375,1240.8900146484375,1249.1400146484375,54224355,1249.1400146484375
2017-04-23,1256.3599853515625,1234.8599853515625,1249.1400146484375,1248.1800537109375,49281629,1248.1800537109375
2017-04-24,1272.6199951171875,1244.2099609375,1248.1800537109375,1264.31005859375,56659016,1264.31005859375
2017-04-25,1309.199951171875,1263.0,1264.31005859375,1286.6300048828125,77649710,1286.6300048828125
2017-04-26,1346.7900390625,1285.300048828125,1286.6300048828125,1332.9100341796875,83319636,1332.9100341796875
2017-04-27,1356.1500244140625,1287.6199951171875,1332.9100341796875,1329.6199951171875,104536476,1329.6199951171875
2017-04-28,1343.68994140625,1314.1500244140625,1329.6199951171875,1336.280029296875,55982468,1336.280029296875
2017-04-29,1358.93994140625,1309.6600341796875,1336.280029296875,1351.9100341796875,55470285,1351.9100341796875
